brand,family,product_model,part_number,role,notes
AWB,GeniaAir,GeniaAir 5/1 AWB,0010016292,Heat Pump,
Saunier Duval,Semia Condens,Semia Condens 25-A (H-RO),0010016100,Boiler,
Saunier Duval,Thelia Condens,Thelia Condens 25-A (H-RO),0010016101,Boiler,
Saunier Duval,Thelia Condens,Thelia Condens 30-A (H-RO),0010016102,Boiler,
Saunier Duval,Thelia Condens,Thelia Condens 35-A (H-RO),0010016103,Boiler,
Saunier Duval,Examaster,Examaster,0020110658,Module,
Saunier Duval,MiLink Plus,,0020116884,Gateway,
Saunier Duval,Exacontrol,E7 C,0020118071,Regulator,
Saunier Duval,Exacontrol,E7R C,0020118072,Regulator,
Saunier Duval,Exacontrol,E7 C,0020118080,Regulator,
Saunier Duval,Examaster,Examaster,0020128485,Module,
Saunier Duval,ExaControl,E7(R)C,0020128488,Regulator,
Saunier Duval,MiLink,SR900,0020135099,Gateway,
Saunier Duval,Exacontrol,E7R C/SH,0020147973,Regulator,
Saunier Duval,MiLink v2,SR920,0020252925,Gateway,
Saunier Duval,MiLink v3,SR921,0020261008,Gateway,
Saunier Duval,MiLink v3,SR921,0020282697,Gateway,
Saunier Duval,MiLink Go,SR940f,0020292013,Gateway,
Vaillant,atmoCOMPACT,,0010002315,Boiler,
Vaillant,atmoCOMPACT,,0010002316,Boiler,
Vaillant,atmoCOMPACT,,0010002317,Boiler,
Vaillant,ecoTEC plus,ecoTEC plus 415,0010002460,Boiler,
Vaillant,ecoTEC plus,ecoTEC plus 418,0010002461,Boiler,
Vaillant,EUROBIG/SMALL,,0010002465,Boiler,
Vaillant,ecoTEC/4 eGAS,,0010002498,Boiler,
Vaillant,ecoTEC exclusive,ecoTEC exclusive 832,0010002668,Boiler,
Vaillant,ecoTEC exclusive,ecoTEC exclusive 838,0010002669,Boiler,
Vaillant,ecoTEC plus,ecoTEC plus 428,0010002724,Boiler,
Vaillant,ecoTEC plus,ecoTEC plus 438,0010002725,Boiler,
Vaillant,geoTHERM,VWS 61/2,0010002778,Heat Pump,
Vaillant,geoTHERM,VWS 81/2,0010002779,Heat Pump,
Vaillant,geoTHERM,VWS 101/2,0010002780,Heat Pump,
Vaillant,geoTHERM,VWS 141/2,0010002781,Heat Pump,
Vaillant,geoTHERM,VWS 171/2,0010002782,Heat Pump,
Vaillant,geoTHERM,VWW 61/2,0010002789,Heat Pump,
Vaillant,geoTHERM,VWW 81/2,0010002790,Heat Pump,
Vaillant,geoTHERM,VWW 101/2,0010002791,Heat Pump,
Vaillant,geoTHERM,VWW 141/2,0010002792,Heat Pump,
Vaillant,geoTHERM,VWW 171/2,0010002793,Heat Pump,
Vaillant,,,0010003812,Boiler,
